Note,Octave,Frequency(Hz),log(Frequency)
C3,3,130.81,7.031329024
C#3,3,138.59,7.114679353
D3,3,146.83,7.198002957
D#3,3,155.56,7.28132733
E3,3,164.81,7.364659972
F3,3,174.61,7.447992375
F#3,3,185,7.531381461
G3,3,196,7.614709844
G#3,3,207.65,7.698010062
A3,3,220,7.781359714
A#3,3,233.08,7.864681406
B3,3,246.94,7.948016737
C4,4,261.63,8.031384168
C#4,4,277.18,8.114679353
D4,4,293.66,8.198002957
D#4,4,311.13,8.2813737
E4,4,329.63,8.36470374
F4,4,349.23,8.448033686
F#4,4,369.99,8.531342468
G4,4,392,8.614709844
G#4,4,415.3,8.698010062
A4,4,440,8.781359714
A#4,4,466.16,8.864681406
B4,4,493.88,8.948016737
C5,5,523.25,9.031356596
C#5,5,554.37,9.114705377
D5,5,587.33,9.19802752
D#5,5,622.25,9.281350515
E5,5,659.25,9.364681856
F5,5,698.46,9.448033686
F#5,5,739.99,9.531361965
G5,5,783.99,9.614691442
G#5,5,830.61,9.698027431
A5,5,880,9.781359714
A#5,5,932.33,9.86469688
B5,5,987.77,9.948031342
C6,6,1046.5,10.0313566
C#6,6,1108.73,10.11469237
D6,6,1174.66,10.19802752
D#6,6,1244.51,10.28136211
E6,6,1318.51,10.3646928
F6,6,1396.91,10.44802336
F#6,6,1479.98,10.53136196
G6,6,1567.98,10.61469144
G#6,6,1661.22,10.69802743
A6,6,1760,10.78135971
A#6,6,1864.66,10.86469688
B6,6,1975.53,10.94802404
C7,7,2093,11.0313566
C#7,7,2217.46,11.11469237
D7,7,2349.32,11.19802752
D#7,7,2489.02,11.28136211
E7,7,2637.02,11.3646928
F7,7,2793.83,11.44802852
F#7,7,2959.96,11.53136196
G7,7,3135.96,11.61469144
G#7,7,3322.44,11.69802743
A7,7,3520,11.78135971
A#7,7,3729.31,11.86469301
B7,7,3951.07,11.94802769
